student_ic,age,famsize,Pstatus,internet,failures,activities,romantic_relationship,family_relationship,freetime,socialising,Weekday_alcohol,Weekend_alcohol,absence,math_avg,por_avg,alc_avg
192,15,GT3,T,yes,0,yes,no,3,4,3,1,1,8,10.666666666666666,11.333333333333334,1.0
193,15,GT3,T,yes,0,no,no,2,2,4,2,4,4,15.333333333333334,11.0,3.0
194,15,GT3,T,yes,0,no,no,3,3,3,1,1,0,10.0,10.0,1.0
195,15,GT3,T,no,0,no,no,4,3,3,2,2,2,14.666666666666666,12.0,2.0
196,15,GT3,T,yes,0,no,no,5,4,3,1,2,2,10.333333333333334,12.333333333333334,1.5
197,15,GT3,T,yes,0,yes,no,4,3,3,2,3,6,9.333333333333334,11.0,2.5
198,15,GT3,T,yes,0,no,no,4,4,1,1,1,0,14.0,13.0,1.0
199,15,GT3,T,yes,0,no,no,2,2,2,1,1,0,5.333333333333333,10.333333333333334,1.0
200,15,GT3,T,yes,0,no,no,5,4,2,1,1,0,14.0,11.666666666666666,1.0
201,15,GT3,T,yes,0,no,no,5,4,2,3,4,0,10.666666666666666,10.666666666666666,3.5
202,15,GT3,T,no,0,yes,no,4,4,3,1,1,2,12.666666666666666,15.666666666666666,1.0
203,15,GT3,T,yes,0,yes,no,5,3,3,1,1,4,12.333333333333334,12.333333333333334,1.0
204,15,GT3,T,yes,0,yes,no,4,3,1,1,1,0,16.666666666666668,15.0,1.0
205,15,GT3,T,yes,0,yes,no,4,3,3,1,1,2,18.333333333333332,14.666666666666666,1.0
206,15,GT3,T,no,0,yes,no,3,2,2,1,1,4,14.666666666666666,15.333333333333334,1.0
207,15,LE3,A,yes,3,no,no,4,5,5,2,5,0,9.0,11.333333333333334,3.5
208,15,LE3,A,yes,0,no,no,4,2,2,1,1,0,17.666666666666668,16.0,1.0
209,15,LE3,A,no,1,no,no,5,5,5,3,4,6,10.666666666666666,9.333333333333334,3.5
210,15,LE3,A,yes,0,yes,no,5,5,3,1,1,6,18.666666666666668,13.666666666666666,1.0
211,15,LE3,T,yes,0,yes,no,4,3,2,1,1,2,9.333333333333334,13.666666666666666,1.0
212,15,LE3,T,yes,0,yes,no,4,3,4,1,1,6,12.666666666666666,11.666666666666666,1.0
213,15,LE3,T,yes,0,yes,no,5,3,3,1,3,4,15.0,12.666666666666666,2.0
214,15,LE3,T,yes,0,yes,no,5,3,2,1,1,0,10.0,12.333333333333334,1.0
215,15,LE3,T,yes,0,no,no,3,5,2,1,1,10,18.666666666666668,17.666666666666668,1.0
216,15,LE3,T,yes,0,yes,no,5,4,3,1,1,2,16.333333333333332,14.0,1.0
217,15,LE3,T,yes,0,yes,no,4,3,3,1,3,2,14.0,12.333333333333334,2.0
218,15,LE3,T,yes,0,no,yes,5,4,3,2,4,8,12.0,10.666666666666666,3.0
219,16,GT3,A,yes,0,yes,yes,2,4,3,1,1,7,15.333333333333334,13.0,1.0
220,16,GT3,T,no,0,yes,no,3,3,2,1,3,0,8.333333333333334,13.0,2.0
221,16,GT3,T,no,0,no,no,4,2,2,1,2,2,15.666666666666666,11.0,1.5
222,16,GT3,T,yes,0,yes,no,4,3,2,3,4,8,9.0,10.333333333333334,3.5
223,16,GT3,T,yes,0,yes,yes,4,3,3,3,4,10,9.0,10.0,3.5
224,16,GT3,T,yes,0,yes,no,3,3,3,1,1,2,13.666666666666666,10.333333333333334,1.0
225,16,GT3,T,yes,0,yes,no,3,5,5,2,5,8,18.0,14.333333333333334,3.5
226,16,LE3,T,yes,0,yes,no,3,3,4,3,5,8,9.333333333333334,11.0,4.0
227,16,GT3,T,yes,0,no,no,4,3,2,2,4,0,14.333333333333334,11.333333333333334,3.0
228,16,GT3,T,yes,0,yes,yes,4,3,2,1,1,2,14.666666666666666,17.0,1.0
229,16,GT3,T,yes,0,yes,yes,3,3,3,1,2,2,11.333333333333334,10.0,1.5
230,16,GT3,T,yes,0,no,no,4,3,3,1,1,6,18.0,15.666666666666666,1.0
231,16,GT3,T,yes,0,no,no,4,3,5,2,4,4,10.0,10.0,3.0
232,16,GT3,T,yes,1,yes,no,4,4,2,1,1,12,10.333333333333334,11.0,1.0
233,16,GT3,T,yes,0,no,no,5,3,3,1,1,0,13.666666666666666,12.333333333333334,1.0
234,16,GT3,T,no,0,yes,no,5,3,2,2,2,2,12.666666666666666,13.333333333333334,2.0
235,16,GT3,T,yes,0,no,no,4,3,2,1,1,0,14.333333333333334,11.666666666666666,1.0
236,16,GT3,T,yes,0,yes,yes,5,3,3,1,3,10,10.0,12.0,2.0
237,16,GT3,T,yes,0,no,no,5,4,3,1,1,0,13.666666666666666,12.0,1.0
238,16,GT3,T,yes,0,no,no,5,3,3,1,3,6,9.0,10.0,2.0
239,16,GT3,T,yes,1,no,yes,4,5,5,4,4,4,11.333333333333334,7.0,4.0
240,16,GT3,T,yes,0,yes,no,5,4,2,1,1,0,13.333333333333334,14.333333333333334,1.0
241,16,GT3,T,yes,0,yes,no,5,3,3,1,1,2,17.333333333333332,13.666666666666666,1.0
242,16,GT3,T,yes,0,yes,no,5,3,3,1,1,2,17.333333333333332,12.0,1.0
243,16,GT3,T,yes,0,yes,yes,4,2,3,1,2,2,12.333333333333334,13.666666666666666,1.5
244,16,GT3,T,yes,0,yes,yes,4,2,3,1,2,2,12.333333333333334,12.0,1.5
245,16,GT3,T,yes,2,yes,no,3,4,5,2,4,0,3.6666666666666665,9.333333333333334,3.0
246,16,GT3,T,yes,0,yes,no,4,2,2,1,1,4,19.333333333333332,17.0,1.0
247,16,GT3,T,yes,0,yes,no,3,4,3,2,3,10,8.333333333333334,10.666666666666666,2.5
248,16,GT3,T,yes,0,yes,no,3,4,4,1,4,18,12.666666666666666,12.666666666666666,2.5
249,16,GT3,T,yes,0,yes,no,4,2,4,2,4,2,13.333333333333334,13.333333333333334,3.0
250,16,GT3,T,yes,0,yes,no,5,3,2,1,2,0,12.333333333333334,14.666666666666666,1.5
251,16,GT3,T,yes,0,yes,no,5,3,2,1,2,0,12.333333333333334,13.666666666666666,1.5
252,16,GT3,T,yes,0,yes,no,4,5,5,5,5,14,6.333333333333333,8.666666666666666,5.0
253,16,GT3,T,yes,0,yes,yes,4,4,3,1,1,0,16.666666666666668,16.0,1.0
254,16,GT3,T,yes,0,no,yes,3,3,2,2,1,0,4.333333333333333,14.666666666666666,1.5
255,16,GT3,T,yes,0,no,yes,3,3,2,2,1,0,4.333333333333333,8.666666666666666,1.5
256,16,GT3,T,yes,0,yes,no,5,4,4,1,2,2,15.333333333333334,14.666666666666666,1.5
257,16,GT3,T,yes,0,yes,no,5,4,4,1,2,2,15.333333333333334,8.666666666666666,1.5
258,16,GT3,T,yes,0,yes,yes,4,4,5,5,5,16,11.0,11.666666666666666,5.0
259,16,LE3,A,yes,0,yes,no,5,3,3,1,1,4,11.0,12.333333333333334,1.0
260,16,LE3,A,no,0,no,no,4,1,3,3,5,18,7.0,9.333333333333334,4.0
261,16,LE3,T,yes,0,no,no,3,4,2,1,1,18,7.333333333333333,9.0,1.0
262,16,LE3,T,no,1,no,yes,4,4,4,1,3,0,12.666666666666666,10.0,2.0
263,16,LE3,T,no,1,yes,yes,4,4,4,3,5,6,13.0,9.666666666666666,4.0
264,16,LE3,T,yes,0,yes,yes,4,2,3,1,2,0,15.0,14.333333333333334,1.5
265,16,LE3,T,yes,0,no,no,4,4,4,1,1,0,11.666666666666666,12.666666666666666,1.0
266,16,LE3,T,yes,0,yes,no,5,4,4,2,4,0,12.666666666666666,10.0,3.0
267,16,LE3,T,yes,2,yes,no,2,3,3,2,2,8,9.0,11.333333333333334,2.0
268,16,LE3,T,yes,0,yes,no,4,5,1,1,3,2,15.333333333333334,13.0,2.0
269,16,LE3,T,yes,0,yes,no,3,1,3,1,3,4,9.333333333333334,12.0,2.0
270,16,LE3,T,yes,0,yes,no,5,4,2,1,2,10,15.0,12.333333333333334,1.5
271,16,LE3,T,yes,0,yes,no,5,4,5,1,1,0,2.0,14.333333333333334,1.0
272,17,GT3,T,no,0,yes,yes,3,5,2,2,2,2,14.333333333333334,17.0,2.0
273,17,GT3,T,no,0,no,no,3,1,3,1,5,4,9.0,9.333333333333334,3.0
274,17,GT3,T,yes,1,yes,no,5,2,4,1,4,20,8.0,11.333333333333334,2.5
275,17,GT3,T,yes,0,no,no,4,4,2,2,4,0,10.666666666666666,12.333333333333334,3.0
276,17,GT3,T,yes,0,yes,no,4,5,2,1,1,4,11.0,12.666666666666666,1.0
277,17,GT3,T,yes,0,no,no,4,4,5,5,5,8,10.333333333333334,10.333333333333334,5.0
278,17,GT3,T,no,0,no,no,5,4,5,2,4,0,3.3333333333333335,9.666666666666666,3.0
279,17,LE3,A,yes,0,no,no,3,3,3,2,3,2,11.0,12.0,2.5
280,17,LE3,T,no,3,yes,yes,5,3,5,1,5,0,6.666666666666667,8.0,3.0
281,17,LE3,T,no,0,no,no,2,2,2,3,3,8,13.666666666666666,9.0,3.0
282,17,LE3,T,yes,2,yes,yes,3,3,2,2,2,0,4.333333333333333,8.333333333333334,2.0
283,17,GT3,T,yes,0,no,no,4,3,3,1,2,2,11.0,12.0,1.5
284,17,GT3,T,yes,0,yes,no,4,4,4,4,5,12,7.666666666666667,11.0,4.5
285,17,GT3,T,yes,3,no,no,5,4,5,1,2,0,1.6666666666666667,9.333333333333334,1.5
286,17,GT3,T,yes,3,no,no,5,4,5,1,2,0,1.6666666666666667,7.333333333333333,1.5
287,17,GT3,T,yes,3,yes,no,4,5,1,1,1,2,8.666666666666666,9.333333333333334,1.0
288,17,GT3,T,yes,3,yes,no,4,5,1,1,1,2,8.666666666666666,7.333333333333333,1.0
289,17,GT3,T,yes,0,no,no,5,2,2,1,1,4,12.333333333333334,11.333333333333334,1.0
290,17,GT3,T,yes,0,yes,yes,5,4,4,3,4,2,9.333333333333334,12.0,3.5
291,17,GT3,T,yes,3,yes,no,5,5,5,2,4,16,5.333333333333333,7.666666666666667,3.0
292,17,GT3,T,yes,0,no,no,4,4,3,1,3,4,12.333333333333334,14.666666666666666,2.0
293,17,GT3,T,yes,0,yes,no,4,3,4,1,4,4,5.666666666666667,10.0,2.5
294,17,GT3,T,yes,0,yes,no,4,3,5,3,5,3,15.0,17.333333333333332,4.0
295,17,GT3,T,yes,0,yes,yes,4,3,4,2,3,12,11.666666666666666,12.666666666666666,2.5
296,17,GT3,T,yes,0,yes,yes,5,2,3,1,1,4,10.333333333333334,11.666666666666666,1.0
297,17,GT3,T,yes,0,no,no,5,2,3,1,2,4,16.0,13.333333333333334,1.5
298,17,GT3,T,yes,0,yes,yes,4,5,5,1,3,14,9.666666666666666,13.0,2.0
299,17,LE3,A,yes,1,no,no,4,4,4,3,4,19,10.0,13.0,3.5
300,17,LE3,A,yes,0,yes,yes,4,5,4,2,4,30,8.0,10.666666666666666,3.0
301,17,LE3,T,yes,1,yes,no,4,4,4,1,2,2,8.0,9.666666666666666,1.5
302,17,LE3,T,yes,0,yes,yes,4,4,2,5,5,4,13.333333333333334,16.0,5.0
303,17,LE3,T,yes,0,no,no,5,3,3,1,3,2,11.666666666666666,10.666666666666666,2.0
304,17,LE3,T,yes,0,yes,yes,2,5,5,1,4,14,12.0,15.0,2.5
305,17,LE3,T,yes,0,yes,no,4,4,4,4,4,4,9.333333333333334,10.666666666666666,4.0
306,17,LE3,T,yes,0,no,no,4,1,1,2,2,0,10.666666666666666,12.666666666666666,2.0
307,17,LE3,T,yes,0,no,yes,5,3,5,4,5,13,12.333333333333334,12.333333333333334,4.5
308,17,LE3,T,yes,0,yes,no,4,4,4,1,3,0,11.333333333333334,10.0,2.0
309,18,GT3,T,no,0,yes,no,5,3,2,1,1,1,12.333333333333334,11.0,1.0
310,18,GT3,T,yes,0,no,yes,5,3,2,1,2,9,15.666666666666666,15.333333333333334,1.5
311,18,LE3,A,yes,0,yes,no,4,2,5,3,4,13,17.0,15.666666666666666,3.5
312,18,LE3,T,yes,0,yes,no,5,4,2,1,1,8,13.666666666666666,14.666666666666666,1.0
313,18,LE3,T,yes,1,no,yes,4,3,3,1,3,8,4.333333333333333,9.666666666666666,2.0
314,18,GT3,T,yes,0,yes,no,5,2,4,1,2,8,14.333333333333334,16.0,1.5
315,18,GT3,T,yes,1,no,no,3,2,5,2,5,4,7.666666666666667,7.0,3.5
316,18,GT3,T,yes,0,yes,no,4,2,4,1,3,6,14.333333333333334,14.666666666666666,2.0
317,18,GT3,T,yes,0,no,no,3,3,3,5,5,0,12.666666666666666,9.666666666666666,5.0
318,18,GT3,T,yes,1,no,no,5,5,4,3,5,0,4.666666666666667,7.666666666666667,4.0
319,18,GT3,T,yes,1,yes,no,4,4,4,2,4,15,7.0,11.333333333333334,3.0
320,18,GT3,T,yes,1,no,no,4,4,5,2,4,0,7.333333333333333,7.333333333333333,3.0
321,18,GT3,T,yes,0,yes,yes,5,4,5,1,3,10,9.666666666666666,12.0,2.0
322,18,GT3,T,yes,0,yes,yes,4,3,2,1,4,11,11.333333333333334,15.666666666666666,2.5
323,18,GT3,T,yes,0,no,no,4,3,2,1,1,2,8.0,10.333333333333334,1.0
324,18,GT3,T,yes,0,no,yes,5,4,5,2,3,0,9.666666666666666,13.666666666666666,2.5
325,18,GT3,T,yes,0,yes,no,4,3,3,2,2,3,10.666666666666666,13.333333333333334,2.0
326,18,GT3,T,yes,0,yes,no,3,2,4,1,4,22,9.0,12.333333333333334,2.5
327,18,GT3,T,yes,0,yes,no,3,2,4,1,4,22,9.0,11.666666666666666,2.5
328,18,GT3,T,yes,1,yes,no,4,3,3,2,2,0,6.666666666666667,12.333333333333334,2.0
329,18,GT3,T,yes,1,yes,no,4,3,3,2,2,0,6.666666666666667,11.666666666666666,2.0
330,18,LE3,A,yes,0,yes,no,5,4,3,1,1,9,14.333333333333334,17.0,1.0
331,18,LE3,T,yes,3,no,yes,2,3,5,2,5,0,3.6666666666666665,6.666666666666667,3.5
332,18,LE3,T,yes,0,yes,yes,4,3,2,4,5,14,9.0,10.0,4.5
333,18,LE3,T,yes,0,yes,no,4,5,5,2,4,2,8.333333333333334,11.333333333333334,3.0
334,18,LE3,T,yes,1,no,no,3,2,4,2,4,13,6.666666666666667,10.0,3.0
335,18,LE3,T,yes,0,yes,yes,4,3,3,1,3,11,15.333333333333334,16.333333333333332,2.0
336,18,LE3,T,yes,0,yes,no,4,2,3,1,2,8,10.333333333333334,10.0,1.5
337,18,LE3,T,yes,0,no,yes,1,4,2,2,2,5,15.666666666666666,17.666666666666668,2.0
338,19,GT3,T,no,1,yes,yes,4,5,3,1,2,0,13.0,10.333333333333334,1.5
339,19,GT3,T,yes,3,no,yes,4,5,4,1,1,0,1.6666666666666667,10.333333333333334,1.0
340,19,LE3,A,yes,0,no,no,4,3,1,1,1,12,11.0,12.666666666666666,1.0
341,20,GT3,A,no,0,yes,no,5,5,3,1,1,0,17.666666666666668,14.666666666666666,1.0
342,22,GT3,T,yes,3,no,yes,5,4,5,5,5,16,7.333333333333333,6.666666666666667,5.0
343,17,GT3,T,yes,1,no,yes,5,2,1,1,2,0,4.333333333333333,8.333333333333334,1.5
344,17,GT3,T,yes,0,yes,no,3,5,5,1,3,14,5.333333333333333,8.0,2.0
345,17,GT3,T,no,0,no,no,3,2,2,1,2,0,11.666666666666666,13.0,1.5
346,17,GT3,T,yes,0,yes,no,4,5,4,2,3,17,10.0,8.666666666666666,2.5
347,17,GT3,T,yes,0,yes,no,4,3,3,1,2,4,12.666666666666666,12.0,1.5
348,17,GT3,T,no,0,yes,yes,3,4,3,1,1,8,11.666666666666666,11.0,1.0
349,17,LE3,A,no,0,no,yes,1,2,3,1,2,2,11.666666666666666,14.666666666666666,1.5
350,17,LE3,T,yes,0,yes,yes,2,3,4,1,1,0,15.333333333333334,14.666666666666666,1.0
351,18,GT3,T,yes,0,no,no,4,3,2,1,2,2,8.666666666666666,11.0,1.5
352,18,GT3,T,no,0,no,no,5,3,3,1,3,2,9.666666666666666,15.333333333333334,2.0
353,18,GT3,T,yes,0,no,yes,3,2,2,4,2,10,12.333333333333334,4.0,3.0
354,18,GT3,T,yes,0,yes,yes,4,4,3,2,2,7,5.666666666666667,8.666666666666666,2.0
355,18,LE3,T,yes,0,no,no,5,4,4,1,1,0,18.666666666666668,16.333333333333332,1.0
356,18,LE3,T,yes,0,yes,no,5,4,3,3,4,4,9.0,13.666666666666666,3.5
357,18,GT3,T,no,1,yes,no,1,1,1,1,1,0,3.6666666666666665,7.333333333333333,1.0
358,18,GT3,T,no,1,yes,no,1,1,1,1,1,0,3.6666666666666665,10.666666666666666,1.0
359,18,GT3,T,yes,0,no,yes,5,2,3,1,2,0,10.333333333333334,10.0,1.5
360,18,GT3,T,yes,0,no,yes,4,1,3,1,2,0,15.0,16.0,1.5
361,18,GT3,T,no,0,no,yes,5,3,4,1,1,0,9.333333333333334,10.0,1.0
362,18,GT3,T,yes,0,no,yes,4,3,2,1,3,0,10.666666666666666,12.666666666666666,2.0
363,18,LE3,T,yes,0,no,no,5,3,2,1,1,0,16.666666666666668,18.0,1.0
364,18,LE3,T,yes,0,no,no,4,3,4,1,1,0,8.0,15.333333333333334,1.0
365,19,GT3,T,yes,1,yes,no,5,4,2,1,2,0,4.0,10.333333333333334,1.5
366,17,GT3,T,yes,0,yes,yes,4,5,5,1,3,4,11.666666666666666,10.666666666666666,2.0
367,17,GT3,T,yes,0,yes,no,4,4,3,1,1,2,10.666666666666666,15.0,1.0
368,17,GT3,T,yes,0,no,no,4,5,4,2,3,2,13.0,9.0,2.5
369,17,LE3,T,yes,0,no,no,2,4,5,3,4,3,15.333333333333334,10.0,3.5
370,18,GT3,T,no,0,no,no,3,3,4,2,4,4,10.0,9.0,3.0
371,18,GT3,T,yes,0,yes,yes,4,4,3,1,3,5,6.666666666666667,4.666666666666667,2.0
372,18,GT3,T,yes,1,no,no,2,5,5,5,5,10,12.333333333333334,10.0,5.0
373,18,GT3,T,no,1,no,no,5,4,3,4,3,14,5.333333333333333,4.666666666666667,3.5
374,18,LE3,T,yes,0,yes,yes,4,3,3,2,3,3,12.666666666666666,9.666666666666666,2.5
375,18,LE3,T,yes,0,no,no,4,4,1,3,4,0,11.0,10.666666666666666,3.5
376,18,GT3,T,yes,0,yes,no,3,2,4,1,4,4,14.333333333333334,18.0,2.5
377,18,LE3,T,yes,0,no,yes,3,3,2,1,2,4,10.0,13.666666666666666,1.5
378,18,LE3,T,yes,1,no,yes,4,3,3,2,3,7,7.666666666666667,9.333333333333334,2.5
379,18,LE3,T,yes,0,no,yes,4,2,2,2,2,0,13.0,15.666666666666666,2.0
380,19,GT3,T,yes,1,no,no,4,4,4,3,3,4,8.0,9.0,3.0
381,19,GT3,T,yes,3,no,no,5,4,4,3,3,8,7.666666666666667,10.0,3.0
382,19,GT3,T,no,1,no,no,4,3,2,1,3,0,3.6666666666666665,4.333333333333333,2.0
